x,y
2295,1207
1244,486
865,30
1790,904
1202,400
1584,1078
2004,1078
1953,897
1877,995
1835,1120
2089,1163
1372,526
1583,991
1328,525
1411,571
2176,1205
1794,1166
1752,953
1921,993
1247,439
1838,869
1711,992
1879,1076
2217,1205
1668,1036
1623,953
2210,1159
1502,1068
1750,1034
2132,1161
1795,952
1837,993
1710,1071
1327,458
1325,776
1625,1159
2004,1122
1838,951
1543,865
1755,1123
1413,661
1085,375
2004,1205
1839,812
1924,871
1255,518
1920,951
1626,1033
1410,819
1583,1033
2249,1229
1447,724
1962,1242
1540,1034
2047,1155
1709,1119
1670,952
1962,1162
1918,1037
1040,308
1375,608
1837,1077
1879,949
1963,1077
1454,823
1832,1197
1625,1078
1626,1203
1923,1210
1541,908
1666,1119
1752,876
1919,1119
2142,1231
1795,829
1371,791
1713,878
879,133
1461,941
1126,390
1794,1118
1584,950
1499,995
1794,1032
1961,955
1497,917
1759,1191
1456,678
1243,366
1115,299
1580,1157
999,219
1203,347
2001,861
1578,830
1287,414
1033,234
2089,1095
1509,821
1454,603
1380,924
1414,506
2045,1224
1385,679
1420,908
1491,686
1415,743
1180,469
1624,884
1670,886
904,106
1699,1228
1382,973
924,175
2132,1093
1876,1155
1876,834
1415,860
823,36
2090,1217
1343,593
1160,344
1136,426
1214,492
2256,1188
1265,549
1010,271
1372,472
2201,1119
2193,1261
1072,251
1557,1200
2002,1002
840,86
964,202
1800,1211
2046,1062
1963,858
1296,799
1304,743
1055,344
1855,1229
1592,1239
1428,1005
1721,815
1355,945
1343,836
2231,1288
2004,1255
1541,811
1521,1106
1591,486
1925,1264
1604,690
1467,1049
1671,1273
2423,1251
